List Date,"Author (Last, First)",Title,Pub Date,Publisher,ISBN,Top Pick,Hall of Fame,Debut,Year-End Favorite List,Genre,Annotation,Nominator/Library,,,,,,,,,,,
2021/03,"Swanson, Peter",Every Vow You Break: A Novel,3/23/2021,William Morrow,9780062980038,,x,,,,"“Abigail deeply regrets succumbing to an illicit night with a stranger on the eve of her wedding. When her husband takes her to a mysterious island for a lavish honeymoon, she’s shocked to see the man who seduced her. What follows is a horror story that will keep readers glued to the page.”","Paul Lane, Palm Beach County Public Library, Boca Raton, FL",,,,,,,,,,,
2021/03,"Whitaker, Chris",We Begin at the End,3/2/2021,Henry Holt & Co.,9781250759665,,,,,,"“Compelling and heartbreaking, this story brings together two of the most compelling characters you may ever meet. Duchess Day Radley and Walk are bound together by uneasy threads, each compelled to dig in and survive, even as they try to move beyond their pasts and what seem to be their inevitable futures. For readers who enjoyed The Good Daughter and The Roanoke Girls.”","Jennifer Ohzourk, St. Louis Public Library, St. Louis, MO",,,,,,,,,,,
2021/02,  February 2021,,,,,,,,,,,,,,,,,,,,,,
2021/02,"Cosimano, Elle",Finlay Donovan Is Killing It,2/2/2021,Minotaur Books,9781250241702,,,,,,"“What a fun, enjoyable romp! Finlay Donovan is mistaken for a hit woman, a desperate wife hires her to kill her husband, and it gets crazy from there. An entertaining, hilarious distraction. Perfect for all the Stephanie Plum fans out there.”","Rosemarie Borsody, Lee Library Association, Lee, MA",,,,,,,,,,,
2021/02,"Gailey, Sarah",The Echo Wife,2/16/2021,Tor Books,9781250174666,,,,,,"“This book asks interesting questions about identity, personality, morality, and genetics, and resists giving easy answers. Evelyn and Martine are in trouble. The man each of them claims as “husband” is lying dead in the kitchen. Gailey invites us to consider a world where clone technology is almost perfect, and its creations are regarded as little more than cattle. What happens when a clone rejects her programming? And what happens when a woman can’t resist the influence of her upbringing? Recommended for fans of Black Mirror and Orphan Black.”","Krista Feick, Columbus Metropolitan Library, Columbus, OH",,,,,,,,,,,
2021/02,"Gornichec, Genevieve",The Witch's Heart,2/9/2021,Ace,9780593099940,,,x,,,"""Weaves the rich story of the witch who taught the magic of prophecy to Odin and Freya, married Loki the trickster, and raised the ""monsters"" who would help bring down Asgard's mightiest rulers. For fans Circe and The Mists of Avalon.""","Stacy Lienemann, Waseca-Le Sueur Regional Library System, Waseca, MN",,,,,,,,,,,
2021/02,"Hannah, Kristin",The Four Winds: A Novel,2/2/2021,St. Martin's Press,9781250178602,x,,,,,"“Elsa, abandoned by her husband, leaves Texas with her two children to save her young son from dust pneumonia. Beautifully written historical fiction about a mother’s love and strength holding a family together as they leave the Dust Bowl and head West to fulfill dreams of green lands, only to find themselves unwelcome and with conditions worse than what they left. For readers who enjoy historical fiction with unforgettable characters, and fans of The Giver of Stars and Cilka’s Journey.”","Michele Coleman, Iredell County Public Library, Statesville, NC",,,,,,,,,,,
2021/02,"Harper, Jane",The Survivors,2/2/2021,Flatiron Books,9781250232427,,x,,,,"“Harper’s latest gripping murder mystery is set in a seaside town on the coast of Tasmania, where suspicions surrounding three deaths following a shipwreck resurface when a young woman is murdered years later.”","Paul Lane, Palm Beach County Public Library, Boca Raton, FL",,,,,,,,,,,
2021/02,"Janet Charles, Janet",The Paris Library: A Novel,2/9/2021,Atria Books,9781982134198,,,,,,"""Parallel narratives, one set in WWII Paris and the other in the U.S. in the 1980s, both featuring librarians and bookstore owners. Your patrons will love it. For fans of The Lions of Fifth Avenue by Fiona Davis and Sarah’s Key.""","Jennifer Schultz, Fauquier County Public Library, Warrenton, VA",,,,,,,,,,,
2021/02,"Johnson, Nancy",The Kindest Lie: A Novel,###############################################################################################################################################################################################################################################################,William Morrow,9780063005631,,,x,,,"“This debut novel begins on the eve of the 2008 election at a watch party hosted by Ruth and Xavier. Ruth must soon confess a secret: she had a child as a teenager, but walked away to begin a new life. When she returns to her hometown to sort things out, she begins a friendship with Midnight, a troubled 11-year-old white boy. Their interconnected paths are brilliantly told and explore themes of race, money, pride, and finding your way back home. For fans of Tayari Jones and Jacqueline Woodson.""","Ron Block, Cuyahoga Public Library, Cuyahoga, OH",,,,,,,,,,,
2021/02,"Mallery, Susan",The Vineyard at Painted Moon,2/9/2021,HQN,9781335912794,,x,,,,"""Mackenzie is abruptly divorced, loses her job as winemaker at a prestigious family winery. She hasn't had to be on her own in years. Now she has all kinds of decisions to make. Great relationship fiction with the bonus of learning the inner workings of the wine industry. For fans of Kristin Hannah.""","Gail Christensen, Kitsap Regional Library, Bremerton, WA",,,,,,,,,,,
2021/02,"Meissner, Susan",The Nature of Fragile Things,2/2/2021,Berkley,9780451492180,,x,,,,"“Just before the 1906 San Francisco earthquake, Sophie, a poor Irish immigrant, answers an ad from a man looking for a wife and mother to his child. Sophie is complex, strong and a bit mysterious, and details of the earthquake and subsequent fires add to the story’s depth.”","Ellen Firer, Merrick Library, Merrick, NY",,,,,,,,,,,
2021/02,"Rai, Alisha",First Comes Like: A Novel,2/16/2021,Avon,9780062878151,,x,,,,"“Dev, actor and grandson of a Bollywood star, is making the move to U.S. cinema. He meets YouTube influencer Jai at a party and can’t get the encounter out of his mind. Wonderfully developed characters populate this sweet own-voices novel about falling in like, and then love.”","Heather Cover, Homewood Library, Birmingham, AL",,,,,,,,,,,
2021/02,"Rogers, Morgan",Honey Girl: A Novel,2/23/2021,Park Row,9780778311027,,,x,,,"“One of the best parts of this book is the friendships. These friends listen to, support, and love each other. Grace Porter has just finished her PhD in astronomy and goes to Las Vegas to celebrate. While there, she meets a beautiful woman, Yuki, and by the end of the night, they are drunk and married. When Grace goes to New York to visit Yuki, they fall in love all over again. For fans of Queenie and The Bride Test.”","Patti Lang, Pima County Public Library, Tucson, AZ",,,,,,,,,,,
2021/02,"Ryan, Jennifer",The Kitchen Front: A Novel,2/23/2021,Ballantine Books,9780593158807,,,,,,"""WWII era, Great Britain, four women vie for the chance to co-present a BBC radio program The Kitchen Front helping the housewives create healthful and tasty meals with their war rations. As these women compete against themselves and each other, the contest threatens to tear the community apart unless they can find common ground and work together for a common good. For readers who enjoyed The All-Girl Filling Station's Last Reunion and The Ship of Brides.""","Jennifer Winberry, Hunterdon County Library, Flemington, NJ",,,,,,,,,,,
2021/02,"Young, Samantha",Much Ado About You,2/2/2021,Berkley,9780593099483,,,,,,"""Feeling overlooked in her career and her personal life, Shakespeare-loving Evie Starling takes a leap of faith and goes to Northern England to run the Much Ado About Books bookshop. There, she meets a very sexy farmer who makes her want to break her one and only rule for her trip: no men. For readers who loved ""The Tourist Attraction"" and ""Natalie Tan's Book of Luck and Fortune"".","Laura Collins, Lexington Main Library, Lexington, SC",,,,,,,,,,,
