List Date,"Author (Last, First)",Title,Pub Date,Publisher,ISBN,Top Pick,Hall of Fame,Debut,Year-End Favorite List,Genre,Annotation,Nominator/Library,,,,,,,,,,,
2020/09,"Walker, Wendy",Don't Look For Me,9/15/2020,St. Martin's Press,9781250198709,,x,,,,"“Years after Molly accidentally kills her young daughter in a car accident, her family remains torn apart by grief. When she vanishes one stormy night, the authorities determine she ran away. But when her elder daughter investigates, she realizes the truth may be more sinister.”","Vanessa Phillips, Pelion Branch Library, Pelion, SC",,,,,,,,,,,
2020/09,"Ware, Ruth",One By One,9/8/2020,Gallery/Scout Press,9781501188817,,x,,,,“This delicious locked-room thriller is set amid a group of wealthy tech startup entrepreneurs snowbound at a ski chalet in the French Alps. It's And Then There Were None updated for our tech era. Highly recommended for suspense fans.”,"Ann-Marie Anderson, Tigard Public Library, Tigard, OR",,,,,,,,,,,
2020/08,  August 2020,,,,,,,,,,,,,,,,,,,,,,
2020/08,"Andrews, Ilona",Emerald Blaze: A Hidden Legacy Novel,8/25/2020,Avon,9780062878366,,x,,,,"“While investigating a murder, Texas deputy warden Catalina Baylor must again work with handsome Alessandro Sagredo, a fellow mage who’ll do anything to keep her safe. Another urban fantasy home run for Andrews--the leads are perfect together and the world-building is phenomenal.”","Caroline Quintanilla, Seminole County Public Library, Sanford, FL",,,,,,,,,,,
2020/08,"Cabot, Meg",No Offense: A Novel,8/11/2020,William Morrow Paperbacks,9780062890078,,,,,,"""In the second book in the Little Bridge Island series, we meet Molly, a children’s librarian who is new to the island, and John, the newly installed island sheriff. Their lives become intertwined when Molly finds a newborn baby in the library bathroom and the two work to find the mother. For readers who enjoy It’s In HIs Kiss by Jill Shalvis and The Best Man by Kristan Higgins.""","Laura Hanson, Waukee Public Library, Waukee, IA",,,,,,,,,,,
2020/08,"Daria, Alexis",You Had Me at Hola: A Novel,8/4/2020,Avon,9780062959928,x,,,,,"""This romance by a RITA award-winning writer is a sizzling hot and fun ode to soap operas. Jasmine, a soap opera actor, and Ashton, a telenovela actor, have just been cast on a popular streaming service TV show that promises to catapult each of them to break-out stardom. Although they initially resist becoming romantically involved, they quickly give in to temptation and indulge in a torrid affair that means more to them than either wants to admit. When the paparazzi expose a shocking secret, Jasmine is forced to reevaluate the trust she put in Ashton, and he is compelled to come to grips with his traumatic past. Firmly rooted in Latinx culture, this novel covers complex issues of language, colorism, and identity while also managing to be upbeat, entertaining, and super-steamy. Recommended for fans of Take a Hint, Dani Brown, Something To Talk About, and Not the Girl You Marry.""","Migdali Jimenez, Chicago Public Library, Chicago, IL",,,,,,,,,,,
2020/08,"Davis, Fiona",The Lions of Fifth Avenue: A Novel,8/4/2020,Dutton,9781524744618,,x,,,,"“A glimpse into women's lives in 1913 and 1993, with the narrative centering on the New York Public Library. Davis always places female characters from the past and present in an iconic New York building. This book was especially wonderful as it’s a love letter to librarians.”","Donna Ballard, East Meadow Public Library, East Meadow, NY",,,,,,,,,,,
2020/08,"Goldin, Megan",The Night Swim: A Novel,8/4/20,St. Martin's Press,9781250219688,,,,,,"“The author has expertly woven the stories of two crimes that occurred in a small town 25 years apart. Rachel, an investigative podcast reporter, is covering the trial of a young man accused of the latest crime. While there, she is pulled into the past by the earlier victim’s sister, Hannah, who has been haunted by it for a very long time. For fans of Then She Was Gone and Sometimes I Lie.""","Debbie Lease, Hillsdale Public Library, Hillsdale, NJ",,,,,,,,,,,
2020/08,"Hiaasen, Carl",Squeeze Me: A Novel,8/25/2020,Knopf,9781524733452,,,,,,"""Angie runs her own business, Discreet Captures, in Palm Beach, FL where she traps and relocates wildlife. She receives a call from the caretaker of a local estate about a giant python and manages to remove the snake without offending party guests. But what happened to Kiki Pew, the wealthy hostess who seems to have vanished from the event? For fans of satirical thrillers and Florida.""","Linda Tilden, Mt. Laurel Public Library, Mt. Laurel, NJ",,,,,,,,,,,
2020/08,"Kline, Christina Baker",The Exiles: A Novel,8/25/2020,Custom House,9780062356345,,,,,,"“In her extremely readable fashion, Christina Baker Kline has created another masterpiece of historical fiction. This time she takes readers on a journey from England to Australia, where prisoners were exiled in the nineteenth century.The riveting story becomes personal as Kline engages readers in the individual stories of the enslaved women and their experiences. Perfect for book groups and fans of Lisa Wingate and Kristin Hannah.""","Marilyn Sieb, L.D. Fargo Library, Lake Mills, WI",,,,,,,,,,,
2020/08,"Lim, Roselle",Vanessa Yu's Magical Paris Tea Shop,8/4/2020,Berkley,9781984803276,,,,,,"""Vanessa Yu is an accountant with the power of clairvoyance. Vanessa travels to a tea shop in Paris to learn to control her predictions with the help of her Aunt Evelyn. There, Vanessa finds a new purpose by connecting the people around her and just might find true love for herself. Sweet, romantic, and cozy. For readers who enjoyed Number One Chinese Restaurant and Kitchens of the Great Midwest.""","Douglas Beatty, Baltimore County Public Library, Baltimore, MD",,,,,,,,,,,
2020/08,"Muir, Tamsyn",Harrow the Ninth,8/4/2020,Tor.com,9781250313225,,,,,,"“This follow-up to Gideon the Ninth is a fantastic gothic locked room mystery, peopled with aristocrats vying to be the Undying Emperor's new Lyctor. Muir switches things up with a second person POV, and because Harrow's body and mind are failing her, she's an unreliable narrator. The story moves around in time, so when events from the first book are revisited, the perspective changes. And there's still that looming, unwinnable battle. A rare and beautiful gem for fans of The City We Became and Dune.”","Laura Eckert, Clermont County Public Library, Milford, OH",,,,,,,,,,,
2020/08,"O'Leary, Beth",The Switch: A Novel,8/18/2020,Flatiron Books,9781250769862,,,,,,"""Finding herself with a two-week sabbatical from work, Leeana and her grandmother Eileen decide to switch homes for the duration. In London, Eileen starts an affair and builds friendships across generations. In a Yorkshire village, Leena learns how her grandmother is the center of village activity and takes on all Eileen’s projects. For fans of Evie Drake Starts Over and The Love Story of Missy Charmichael.""","Paula Pergament, Lincolnwood Public Library, Lincolnwood, IL",,,,,,,,,,,
2020/08,"Slaughter, Karin",The Silent Wife: A Novel,8/4/2020,William Morrow  ,9780062858108,,,,,,"""A brilliantly conceived story about a psychopath that preys on young women and a chance encounter that turns up a connection to another series of unsolved murders years back. A fast-paced, suspenseful thriller for fans of the Kick Lannigan series.""","Paul Lane, Palm Beach County Library, West Palm Beach, FL",,,,,,,,,,,
2020/08,"Wilkerson, Isabel",Caste: The Origins of Our Discontents,8/4/2020,Random House,9780593230251,,,,,,"“A magisterial overview of how caste has been implemented in three different places, this harrowing read is an important look at how the U.S., Nazi Germany, and India implemented caste and how it affects each country's society. Don't think that this is a dry academic read; Wilkerson is a genius with words and incorporates her own experiences throughout the book. For readers of Stamped and The New Jim Crow.”","Jennifer Schultz, Fauquier County Public Library, Warrenton, VA",,,,,,,,,,,
2020/07,  July 2020,,,,,,,,,,,,,,,,,,,,,,
2020/07,"Butcher, Jim",Peace Talks,7/14/2020,Ace,9780451464415,x,,,,,"“Eagerly awaited by wizard Harry Dresden’s legion of fans, this 16th book in the series is definitely worth the wait. Wonderful scenes feature magical illusions, and many familiar characters return for peace talks in Chicago. Not much is peaceful for Harry, as the wizards might kick him off the White Council, faerie Queen Mab wants him to do a couple of favors for vampire Lara, and Harry’s half-brother is in prison after an assassination attempt. For series fans of The Hollows, The Iron Druid Chronicles, and The Nightside.“","Brenda O’Brien, Woodridge Public Library, Woodridge, IL",,,,,,,,,,,
2020/07,"Castillo, Linda",Outsider: A Novel of Suspense,7/7/2020,Minotaur Books,9781250142894,,x,,,,"“Kate Burkholder comes to the aid of an old colleague who’s now on the run from her own vice unit in this slow-burn crime thriller. Many series start to lose steam when they’ve been around as long as this one, but Linda Castillo just keeps improving with every book.”","Eve Hall, Hopkinsville-Christian County Public Library, Hopkinsville KY",,,,,,,,,,,
2020/07,"Center, Katharine",What You Wish For: A Novel,7/14/2020,St. Martin's Press,9781250219367,,,,,,"""Sam thought the dynamic Duncan Carpenter was out of her life forever, until he returns to the school at which she\'s a librarian and makes her think she might just get her happily ever after. For fans of JoJo Moyes and Rebecca Serle.""","Tracy Babiasz, Chapel Hill Public Library, Chapel Hill, NC",,,,,,,,,,,
2020/07,"Cocks, Heather & Jessica Morgan",The Heir Affair,7/7/2020,Grand Central Publishing,9781538715918,,,,,,"“Less frothy than it sounds, this sequel to The Royal We follows Nick and Bex through the first years of their marriage--a challenging time for anyone, let alone a royal couple whose wedding was disrupted by a sex scandal. As they settle into their new home, they uncover a secret that could change the future of Britain. Fans of Royal Wedding (Cabot) and Royals (Hawkins) will enjoy this funny and sensitive novel.”","Heather Bistyga, Anderson County Library, Anderson, SC",,,,,,,,,,,
2020/07,"Delaney, JP",Playing Nice: A Novel,7/28/2020,Ballantine Books,9781984821348,,x,,,,"“Two babies are switched at birth in the NICU. One has severe disabilities, the other doesn’t. Two years later, the families learn of the mistake and their lives--and lies--become more entangled. Highly recommended for fans of psychological thrillers who are tired of typical plotlines.”","Kelly Verheyden, San Diego Public Library, San Diego, CA",,,,,,,,,,,
2020/07,"Ford, Kelli Jo",Crooked Hallelujah,7/14/2020,Grove Press,9780802149121,,,x,,,"“A well-crafted story of identity, survival, and loyalty that explores the terrain of love and heartbreak, loss and displacement for four generations of Native American women across four decades. Finding their own sources of strength, these proud, fierce women magnetically draw the reader in. For readers who enjoy Louise Erdrich and Diane Glancy.”","Janet Schneider, Peninsula Public Library, Lawrence, NY",,,,,,,,,,,
2020/07,"Hall, Alexis",Boyfriend Material,7/7/2020,Sourcebooks Casablanca,9781728206141,,,,,,"“Incredibly proper Oliver and drama-laden Luc are extreme opposites. Despite a case of annoyance at first sight, the two antagonists reluctantly agree that faking a relationship might help each of them out of a bind. Hall crafts a well-paced relationship that will have readers completely invested in a happy ever after. Perfect for fans of If I Never Met You and Red, White, and Royal Blue.”","Sharon Layburn, South Huntington Public Library, Huntington Station, NY",,,,,,,,,,,
2020/07,"Jones, Stephen Graham",The Only Good Indians,7/14/2020,Gallery/Saga Press,9781982136451,,,,,,"""An own voices horror novel that begins with four young Native American men on a hunting trip that will haunt each of them in unimaginable ways. For fans of Owl Goingback’s Coyote Rage.""","Sarah Fetzer, West Palm Beach City Library, West Palm Beach, FL",,,,,,,,,,,
2020/07,"Malerman, Josh",Malorie: A Bird Box Novel,7/21/2020,Del Rey,9780593156858,,x,,,,"“It’s been several years since Malorie and her two young children arrived at The Janet Tucker School For the Blind. Olympia and Tom, now teenagers, crave to see the world. But at what cost? Malerman is a master of suspenseful terror and escalating mistrust. Unlike Birdbox, this latest installment is also filled with hope.”","KC Davis, Fairfield Woods Public Library, Fairfield, CT",,,,,,,,,,,
2020/07,"Stayman-London, Kate",One to Watch: A Novel,7/7/2020,Dial Press Trade Paper,9780525510444,,,x,,,"""In this hilarious and poignant rom-com debut, Bea Schumacher is a highly influential, body positive, heartbroken fashion blogger, who one day writes a blistering, viral, blog post about the lack of diversity on her favorite reality tv dating show, Main Squeeze. For readers who enjoyed Bridget Jones’s Diary and Me Before You.""","Ann-Marie Anderson, Tigard Public Library, Tigard, OR",,,,,,,,,,,
2020/07,"Tremblay, Paul",Survivor Song: A Novel,7/7/2020,William Morrow,9780062679161,,,,,,"“The gripping story opens with a rampant strain of virus (in this case rabies), followed by quarantines, lockdowns, fear, and irrational behavior. It hits alarmingly close to home. For fans of Severance by Ling Ma and Contagion by Robin Cook.”","Sandra Woodbury, Burlington Public Library, Burlington, MA",,,,,,,,,,,
2020/07,"Tretheway, Natasha",Memorial Drive: A Daughter's Memoir,7/28/2020,Ecco,9780062248572,,,,,,"""Explores the author’s relationship with her mother, piecing together events that led up to her mother's murder at the hands of her stepfather. For fans of No Visible Bruises by Rachel Louise Snyder and The Red Parts by Maggie Nelson.""","Mary Bell, Wilbraham Public Library, Wilbraham, MA",,,,,,,,,,,
2020/07,"Wiggs, Susan",The Lost and Found Bookshop: A Novel,7/7/20,William Morrow,9780062914095,,,,,,"“Personal tragedy turns Natalie’s life upside down and leads her back to her childhood home, including her family’s beloved homegrown bookstore in the heart of San Francisco. Natalie faces the decline of her grandfather’s health, a dilapidated building in need of repair, and a business in the red but also finds unexpected love. Give to readers who liked How to Find Love in a Bookshop and The Readers of Broken Wheel Recommend.”","Joyce Livingston, York County Libraries,Collinsville Community Library, Brogue, PA",,,,,,,,,,,
2020/06,  June 2020,,,,,,,,,,,,,,,,,,,,,,
2020/06,"Bennett, Brit",The Vanishing Half: A Novel,6/2/2020,Riverhead,9780525536291,,,,,,"Centering on two twin light-skinned black girls who grew up in a strange town in the Jim Crow south, this book explores racism, colorism, sexism, and familial relationships through the interweaving storylines of vivid and complicated characters. For fans of Red at the Bone by Jacqueline Woodson.","Pamela Gardner, Medfield Public Library, Medfield, MA",,,,,,,,,,,
2020/06,"Brooks, Max",Devolution: A Firsthand Account of the Rainier Sasquatch Massacre,6/16/2020,Del Rey,9781984826787,,,,,,"“Nobody imagines the end of the world quite like Brooks! Here he takes a group of privileged idealists, sets them in a beautiful utopia where they can escape the headaches of the city but suffer none of the inconveniences, and then brutally removes all the comforts they expect to be delivered. Throw in some hungry Sasquatch and things get really interesting. For fans of Blake Crouch and Jeff VanderMeer.”","Amy Hall, Jefferson County Public Library, Wheat Ridge, CO",,,,,,,,,,,
2020/06,"Chakraborty, S.A.",The Empire of Gold: A Novel,6/30/2020,Harper Voyager,9780062678164,,,,,,"”This is a story about colonialism and cycles of trauma, giving an indepth look at the politics and psychology of a land warred over by ethnic factions for centuries. Highly recommended to anyone looking for an imaginative fantasy with complex characters, well developed relationships, and insightful social commentary. For readers who enjoy N.K. Jemisin and Tasha Suri.”","Lauren Mitchell, Neenah Public Library, Neenah, WI",,,,,,,,,,,
2020/06,"Clark, Julie",The Last Flight: A Novel,6/23/2020,Sourcebooks Landmark,9781728215723,,,,,,"“Claire and Eva both have reasons for wanting to disappear, so when they happen upon each other at the airport, they decide to take the other person\'s flight. However, when one of the planes crashes, the danger they thought they were leaving isn't far behind. For readers who enjoyed The Last Mrs. Parrish by Liv Constantine and The Passenger by Lisa Lutz.”","Lora Bruggeman, Indian Prairie Public Library, Darien, IL",,,,,,,,,,,
2020/06,"Foley, Lucy",The Guest List: A Novel,6/2/2020,William Morrow,9780062868930,,,,,,"""A wedding celebration on a remote island off the coast of Ireland turns eerie and nightmarish in this gothic atmospheric mystery. A good choice for fans of Ruth Ware.""","Bill Anderson, Scott CountyPublic Library, Scottsburg, IN",,,,,,,,,,,
2020/06,"Giffin, Emily",The Lies That Bind: A Novel,6/2/2020,Ballantine Books,9780399178955,,,,,,"""Cecily is fresh off a break up and meets a “too good to be true” stranger in a local dive bar. For fans of Me Before You by JoJo Moyes.""","Stephanie Hall, Topeka Public Library, Topeka, KS",,,,,,,,,,,
2020/06,"Guillory, Jasmine",Party of Two,6/23/2020,Berkley,TR: 9780593100820 HC ISBN: 9780593100813,,x,,,,"“In the fifth book of the Wedding Date series, sparks fly between a smart, independent lawyer and a charming, impulsive senator. Guillory thoughtfully incorporates serious issues into her books while keeping the tone light and uplifting. Sweet, sexy, and a lot of fun.”","Jayme Hughes-Gartin, Public Library of Cincinnati and Hamilton County, Cincinnati, OH",,,,,,,,,,,
2020/06,"Hibbert, Talia","Take a Hint, Dani Brown: A Novel",6/23/2020,Avon,9780062941237,,,,,,"""Dani and Zaf have been low-key flirting forever when a gallant moment is turned into a viral video and the pressure is on for these two to become a couple. This is a fabulously fun and meta take on a classic romance trope, the fake relationship. For fans of The Wedding Date and The Kiss Quotient.""","Jessica Trotter, Capital Area District Libraries, Lansing, MI",,,,,,,,,,,
2020/06,"Miranda, Megan",The Girl From Widow Hills: A Novel,6/23/2020,Simon and Schuster,9781501165429,,,,,,"“Miranda returns with another engrossing psychological thriller that will keep you on the edge of your seat. The story is primarily told from Olivia's unreliable perspective. News reports, book excerpts, and other media are also used to fill out the story, which keeps the plot moving. For fans of Conviction (Mina) and The Other Mrs. (Kubica).”","Megan Coleman, Cecil County Public Library, Elkton, MD",,,,,,,,,,,
2020/06,"Moreno-Garcia, Silvia",Mexican Gothic,6/30/2020,Del Rey,9780525620785,x,,,,,"“A perfect gothic mystery with an updated sensibility that will appeal to the modern reader. Noemí­ is a Mexico City socialite in the 1950s. When her father receives a disturbing letter from his niece, he sends Noemí­ to check on her cousin at the remote house where she is living--a grotesque and rotting English-style mansion, built on dirt imported from England by the colonialist eugenicist family she has married into. Lush descriptions and the creepy atmosphere make this a good choice for readers who liked The Witch Elm, The Little Stranger, or The Haunting of Hill House.”","Lorena Neal, Evanston Public Library, Evanston, IL",,,,,,,,,,,
2020/06,"Paris, B.A.",The Dilemma,6/30/2020,St. Martin's Press,9781250151360,,x,,,,"“If you knew something that was certain to change everything, would you keep it a secret to hold on to tranquility for one more day? Paris' driving narrative, alternating between the perspectives of a husband and wife, guarantees your book group will be divided over this very question.”","Lorri Steinbacher, Ridgewood Public Library, Ridgewood, NJ",,,,,,,,,,,
2020/06,"Phillips, Susan Elizabeth",Dance Away With Me: A Novel,6/9/20,William Morrow,9780062973054,,x,,,,“Phillips’ slow-burn romance centers around a grieving young widow who is drawn into the life of a frustrated artist. The story’s darker turns are lightened by humor drawn from the small-town Tennessee setting. Highly recommended.”,"Rose Miller, Orange Public Library, Orange, CA",,,,,,,,,,,
2020/06,"Rochon, Farrah",The Boyfriend Project ,6/9/2020,Forever,9781538716625,,,,,,"“In this contemporary romance, three women who were two-timed by the same man become friends. The unique, funny premise cleverly serves as a catalyst for why the women are trying to make changes in their lives. The romance is lovely and finds ways in which the couple struggles to be together. Give this to fans of Mia Sosa and Alisha Rai.”","Ann Carpenter, Brooks Free Library, Harwich, MA",,,,,,,,,,,
2020/06,"Sager, Riley",Home Before Dark: A Novel,6/30/2020,Dutton,9781524745172,,x,,,,“Maggie’s father wrote a famous book about the family’s paranormal experiences when she was a child living at Baneberry Hall. Twenty-six years later she returns to the house to finally face what happened long ago. This suspenseful and compelling book keeps you guessing to the very end.”,"Ashley Borer, Normal Memorial Library, Fayette, OH",,,,,,,,,,,
2020/06,"Singh, Nalini",Alpha Night,6/9/2020,Berkley,9781984803627,,x,,,,"""This continuation of the Psy-Changeling series features the shapeshifting wolves of Moscow and their pack alpha, Selenka, but it also brings back many characters from previous books. Another enjoyable, fast-paced paranormal romance from Singh.""","Cathy Shields, East Lyme Public Library, Niantic, CT",,,,,,,,,,,
2020/05,  May 2020,,,,,,,,,,,,,,,,,,,,,,
2020/05,"Constantine, Liv",The Wife Stalker: A Novel,5/019/2020,Harper,9780062967282,,,,,,"""Piper Reynard has moved to Westport, Connecticut to start over. She meets Leo Drakos, a handsome and successful lawyer, who is married to Joanna who has been waiting for Leo to move out of his depression and start focusing on her and the kids again for quite some time. Joanna is determined to find the truth out about Piper, but no one wants to believe what she uncovers. For fans of B.A. Paris and A.J. Finn.""","Laura Sanders, LaFourche Parish Library, Thibodaux, LA",,,,,,,,,,,
2020/05,"Dev, Sonali",Recipe for Persuasion: A Novel,5/26/2020,William Morrow Paperbacks,9780062839077,,,,,,"""Ashna is trying to keep her father’s restaurant, Curried Dreams, from failing. An opportunity is presented to her to be a chef on a reality show, paired with a celebrity. Little does she know that the celebrity, Rico, a soccer star, maneuvered on the show to be paired with her. For fans of Jasmine Guillory.""","Ellen Firer, Merrick Library, Merrick, NY",,,,,,,,,,,
2020/05,"Hankin, Laura",Happy and You Know It,5/019/2020,Berkley,9781984806239,,,x,,,"Claire is a musician whose former band became famous without her. She takes a gig singing nursery rhymes for a playgroup, and her life takes a couple of sharp lefts from there! For fans of Elin Hilderbrand and Elizabeth Berg.","Danielle Hansard, Westland Public Library, Westland, MI",,,,,,,,,,,
2020/05,"Henry, Emily",Beach Read,5/019/2020,Berkley,9781984806734,,,,,,"“Hooray for smart, emotional, well written romance! Two old enemies meet by chance and decide to solve their writer’s block by swapping genres: Literary writer  Augustus will trade his cynicism for a happily ever after, while January will try a “serious” novel where everyone ends up realistically miserable. What could go wrong? For readers who like Susan Mallery and Jennifer Crusie.”","Sharon Layburn, South Huntington Public Library, Huntington Station, NY",,,,,,,,,,,
2020/05,"Jenner, Natalie",The Jane Austen Society: A Novel,5/26/2020,St. Martin's Press,9781250248732,,,x,,,"""Set in the small village of Chawton where Jane Austen lived at the end of her life, just after WWII. Add in a small farmer, the local doctor, a heart-broken widow, a movie actress and other assorted characters all of who love Jane Austen. For readers who enjoyed The Jane Austen Book Club by Karen Joy Fowler.""","Claudia Silk, Fairfield Public Library, Fairfield, CT",,,,,,,,,,,
2020/05,"McCreight, Kimberly",A Good Marriage: A Novel,5/5/2020,Harper,9780062367686,,,,,,"“In Park Slope, everyone has a “good marriage.” Yet after an annual party that often involves partner swapping, one wife ends up dead. Her husband might not be the best spouse, but he claims he didn’t kill his wife. If being a bad husband doesn't make you a murderer, then who in this idyllic community is responsible? Liane Moriarty fans will love this one.”","Selena Swink, Lake Public Library, Lake, MS",,,,,,,,,,,
2020/05,"Sittenfeld, Curtis",Rodham: A Novel,5/019/2020,Random House,9780399590917,,x,,,,"“What if Hillary Rodham heeded the red flags that came with dating Bill Clinton in the 1970s? Sittenfeld really captures the voice of a strong, brilliant, independent female narrator in this warm, whip-smart take on what could have been.”","Lindsay Jensen, Nashville Public Library, Nashville, TN",,,,,,,,,,,
2020/05,"Straub, Emma",All Adults Here: A Novel,5/5/2020,Riverhead,9781594634697,,,,,,"“The ripple effects of choices linger for years and ultimately shape matriarch Astrid and her children. As several generations grapple with their own truths, an opportunity to begin again ultimately draws them all closer. This book asks the question, “Who is truth ultimately for, who benefits from it, and who does it hurt?” For fans of Clock Dance (Tyler) and The Most Fun We Ever Had (Lombardo).”","Jesica Sweedler DeHart, Neill Public Library, Pullman, WA",,,,,,,,,,,
2020/05,"Weiner, Jennifer",Big Summer,5/5/2020,Atria Books,9781501133510,,,,,,"“Daphne is a plus size Instagram influencer who is lovable, funny, and honest. She is surprised when her former best friend--rich, beautiful, mean girl Drue--asks her to be in her summer wedding on Cape Cod. Readers of modern romance, women's fiction, mystery, and beachy chic-lit will all find something here to ponder. Perfect for fans of Marian Keyes and Emily Giffin.”","Kathleen Redfearn, Attleboro Public Library, Attleboro, MA",,,,,,,,,,,
2020/05,"Wells, Martha",Network Effect: A Murderbot Novel,5/5/2020,Tor.com,9781250229861,,,,,,"""For the unfamiliar, The Murderbot Diaries is an action-packed, smart science fiction series about a self-hacking robot searching for the meaning of life. This is the first full-length standalone in the series. Given time to develop characters, the peril was even more suspenseful. More than any of the other titles, this one has me hoping for a sequel. For fans of Ancillary Justice by Anne Leckie."""," April Lammers, Huntington Beach Public Library, Huntington Beach, CA",,,,,,,,,,,
2020/05,"Wilsner, Meryl",Something to Talk About,5/26/2020,Berkley,9780593102527,x,,x,,,"“Jo, a successful producer and writer, asks her assistant Emma to attend the SAG awards with her to deflect speculation about a new project. But a red carpet photo sparks rumors the two are romantically involved, and the resulting media attention disrupts their lives and workplace. A sweet, *slow* burn romance that gets steamy at the end between two people who have long respected and valued each other realizing they might want more. Give to readers who liked The Flatshare (O'Leary), Girl Gone Viral (Rai), and Red, White & Royal Blue (McQuiston).”","Julie Graham, Yakima Valley Libraries, Yakima, WA",,,,,,,,,,,
2020/04,  April 2020,,,,,,,,,,,,,,,,,,,,,,
2020/04,"Downing, Samantha",He Started It: A Novel,4/28/2020,Berkley,9780451491756,,,,,,"""A funny, twisted, scary story about Beth, Eddie, and Portia, siblings who are required to recreate a fateful road trip in order to claim their inheritance. For readers who enjoyed The Kill Club and Eight Perfect Murders.""","Cari Dubiel, Twinsburg Public Library, Twinsburg, OH",,,,,,,,,,,
2020/04,"Hendrix, Grady",The Southern Book Club's Guide to Slaying Vampires: A Novel,4/7/2020,Quirk Books,9781683691433,x,,,,,"“Hendrix's latest novel, possibly his darkest yet, addresses racism, sexism, and the mistaken belief that housewives are dull. Patricia and friends, all genteel Southerners, start a true crime book club. They have to apply what they've learned when a vampire moves into town. Patricia grows from a mildly dissatisfied homemaker to a vampire-fighting dynamo who thinks three steps ahead and takes ownership of her life. With perfect pacing, there's never a moment where readers can let their guard down. An excellent choice for horror fans of Joe Hill, David Wong, and Christopher Moore.”","Rosemary Kiladitis, Queens Public Library, Corona, NY",,,,,,,,,,,
2020/04,"Hillier, Jennifer",Little Secrets: A Novel,4/21/2020,Minotaur Books,9781250154224,,,,,,"""This fast-paced thriller opens on the kidnapping of a young boy. More than a year after her son’s disappearance, Marin discovers her husband is having an affair and begins down a path of secrets and betrayal. For readers who enjoyed Lady in the Lake and Lock Every Door.""","Mara Bandy Fass, Champaign Public Library, Champaign, IL",,,,,,,,,,,
2020/04,"Hogle, Sarah",You Deserve Each Other: A Novel,4/7/2020,G.P. Putnam's Sons,9780593085424,,,x,,,"""Naomi realizes she is only 18% in love with Nicholas, but doesn't want to be the one to break it off, so she devises a plan to force him to break up with her. For readers who liked The Wedding Party and Well Met.""","Douglas Beatty, Baltimore County Public Library, Baltimore, MD",,,,,,,,,,,
2020/04,"Jimenez, Abby",The Happy Ever After Playlist,4/14/2020,Forever,9781538715642,,,,,,"""Sloan, still recovering from the sudden death of her fiance finds a stray dog and brings him home. She calls the number on the tag but there is no response. Once she has fallen for the dog, the owner shows up and Sloan gets a second chance at love. For lovers of romantic comedies like Less by Sean Andrew Greer and Eligible by Curtis Sittenfeld.""","Theresa Bond, Middlesex Public Library, Middlesex, NJ",,,,,,,,,,,
2020/04,"Jones, Darynda",A Bad Day for Sunshine: A Novel,4/7/2020,St. Martin's Press,9781250149442,,,,,,"“Jones follows up her Charley Davidson series in a spectacular fashion with a new series featuring police chief Sunshine Vicram. A fun UN-PUT-DOWN-ABLE read with a large cast of lovable, diverse characters, several mysteries to solve, and laugh-out-loud humor. Perfect for fans of Janet Evanovich and J.A. Jance. ”","Pamela Steinke, Mott Public Library, Mott, ND",,,,,,,,,,,
2020/04,"Kidd, Sue Monk",The Book of Longings: A Novel,4/21/2020,Viking,9780525429760,,,,,,"“Ana is Jesus’s wife and a force in her own right. Monk does not sensationalize her writing about a fictional marriage for Jesus, but rather goes into great historical detail and imagines what it would be like to be a woman in that time. If you have been waiting for a book like The Red Tent for the past 20 years, this is it. Give to fans of Anita Diamant and Marilynne Robinson.“","Claudia Silk, Fairfield Public Library, Fairfield, CT",,,,,,,,,,,
2020/04,"Rai, Alisha",Girl Gone Viral: A Novel,4/21/2020,Avon,9780062878137,,,,,,"“When a random guy sits at Katrina's cafe table, a nearby woman shares the exchange on social media with her own interpretation that soon goes viral. Katrina can't care less because she's been crushing on her bodyguard, Jas, for years. Now to save her from the media blitz, Jas needs to hide her away somewhere--maybe his house in Northern California? For fans of The Right Swipe and Christina Lauren.”","Jessica C. Williams, Tiffin-Seneca Public Library, Tiffin, OH",,,,,,,,,,,
2020/04,"Roth, Veronica",Chosen Ones: A Novel,4/7/2020,Houghton Mifflin Harcourt,9780358164081,,,,,,"“Some years back, five teens were picked, after they fulfilled a prophecy, to fight the Dark One. Now, on the tenth anniversary of that battle, they find out that the Dark One is still alive in a parallel universe. Do the young heroes have what it takes to fight him again? Packed with action, suspense, and breath-taking twists and turns. A good choice for fans of Lev Grossman and N. K. Jemisin.”","Trisha Perry, Oldham County Public Library, LaGrange, KY",,,,,,,,,,,
2020/04,"Wingate, Lisa",The Book of Lost Friends: A Novel ,4/7/2020,Ballantine Books,9781984819888,,,,,,"“Another fantastic, hard-to-put-down book by Lisa Wingate. The story moves back and forth through time: from the post Civil War era where freed slaves are searching for lost family to the modern day South where a struggling new teacher is trying to engage her students. The ending brings together the characters from the two time periods. A must read for those who enjoyed Homegoing by Yaa Gyasi or On Agate Hill by Lee Smith.”","Cindy Ritter, Hamilton North Public Library, Cicero IN",,,,,,,,,,,
2020/03,  March 2020,,,,,,,,,,,,,,,,,,,,,,
