,isbn,variable,value,lr_my,author,title,pub_date,publisher,lr_top,lr_hof,debut,lr_yfav,genre,annotation,nom_lib_lr,permalink,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,hof_pd,hof_compare1,hof_compare2
10,9780062943477,genre_0,,2021/03,"Quinn, Kate",The Rose Code: A Novel,2021-03-09 00:00:00,william morrow paperbacks,0.0,1.0,0.0,,,"“Sophisticated Osla, ambitious Mab, and timid Beth become friends while working as codebreakers at Bletchley Park during World War II. The secrecy of their work has lasting effects on their lives. Years later, they are forced to forgive one another to unmask a traitor.”","Nanette Donohue, Champaign Public Library, Champaign, IL",,,,,,,,,,0.0,0.0,0.0
11,9780525539766,genre_0,,2021/03,"Scottoline, Lisa",Eternal,2021-03-23 00:00:00,g.p. putnam's sons,0.0,0.0,0.0,,,"“Set in Italy during the Fascist regime and subsequent Nazi involvement, this historical fiction novel, a departure for the author, is a solid dose of important history told through the lives and loves of characters who are personally affected by the politics. The impact of decisions and the efforts of individuals to change the course of their country and their lives are vividly portrayed. Perfect for fans of The Lilac Girls and The Nightingale.”","Carol Tuttle, Willoughby-Eastlake Public Library, Willoughby, OH",https://lccn.loc.gov/2020053286,,,,,,,,,0.0,0.0,0.0
12,9781250249258,genre_0,suspense_fiction,2021/03,"Sten, Camilla",The Lost Village: A Novel,2021-03-23 00:00:00,minotaur books,0.0,0.0,1.0,,,"“Set in a rural village in Sweden, where 800 inhabitants vanished in 1959, Alice and her crew set out to make a documentary about the mysterious event. The book weaves together the story of the current day documentarians with the story of the villagers of the past. For readers who enjoyed Ghost Wall and Disappearing Earth.”","Sandra Heitzman, Forest Park Public Library, Forest Park, IL",https://lccn.loc.gov/2020042041,suspense fiction,horror fiction,,,,,,,0.0,0.0,0.0
13,9780062980038,genre_0,psychological_fiction,2021/03,"Swanson, Peter",Every Vow You Break: A Novel,2021-03-23 00:00:00,william morrow,0.0,1.0,0.0,,,"“Abigail deeply regrets succumbing to an illicit night with a stranger on the eve of her wedding. When her husband takes her to a mysterious island for a lavish honeymoon, she’s shocked to see the man who seduced her. What follows is a horror story that will keep readers glued to the page.”","Paul Lane, Palm Beach County Public Library, Boca Raton, FL",https://lccn.loc.gov/2020031468,psychological fiction,suspense fiction,,,,,,,0.0,0.0,0.0
14,9781250759665,genre_0,suspense_fiction,2021/03,"Whitaker, Chris",We Begin at the End,2021-03-02 00:00:00,henry holt & co.,0.0,0.0,0.0,,,"“Compelling and heartbreaking, this story brings together two of the most compelling characters you may ever meet. Duchess Day Radley and Walk are bound together by uneasy threads, each compelled to dig in and survive, even as they try to move beyond their pasts and what seem to be their inevitable futures. For readers who enjoyed The Good Daughter and The Roanoke Girls.”","Jennifer Ohzourk, St. Louis Public Library, St. Louis, MO",https://lccn.loc.gov/2020010399,suspense fiction,,,,,,,,0.0,0.0,0.0
15,9781250241702,genre_0,mystery_fiction,2021/02,"Cosimano, Elle",Finlay Donovan Is Killing It,2021-02-02 00:00:00,minotaur books,0.0,0.0,0.0,,,"“What a fun, enjoyable romp! Finlay Donovan is mistaken for a hit woman, a desperate wife hires her to kill her husband, and it gets crazy from there. An entertaining, hilarious distraction. Perfect for all the Stephanie Plum fans out there.”","Rosemarie Borsody, Lee Library Association, Lee, MA",https://lccn.loc.gov/2020037496,mystery fiction,,,,,,,,0.0,0.0,0.0
16,9781250174666,genre_0,science_fiction,2021/02,"Gailey, Sarah",The Echo Wife,2021-02-16 00:00:00,tor books,0.0,0.0,0.0,,,"“This book asks interesting questions about identity, personality, morality, and genetics, and resists giving easy answers. Evelyn and Martine are in trouble. The man each of them claims as “husband” is lying dead in the kitchen. Gailey invites us to consider a world where clone technology is almost perfect, and its creations are regarded as little more than cattle. What happens when a clone rejects her programming? And what happens when a woman can’t resist the influence of her upbringing? Recommended for fans of Black Mirror and Orphan Black.”","Krista Feick, Columbus Metropolitan Library, Columbus, OH",https://lccn.loc.gov/2020042347,science fiction,suspense fiction,,,,,,,0.0,0.0,0.0
17,9780593099940,genre_0,occult_fiction,2021/02,"Gornichec, Genevieve",The Witch's Heart,2021-02-09 00:00:00,ace,0.0,0.0,1.0,,,"""Weaves the rich story of the witch who taught the magic of prophecy to Odin and Freya, married Loki the trickster, and raised the ""monsters"" who would help bring down Asgard's mightiest rulers. For fans Circe and The Mists of Avalon.""","Stacy Lienemann, Waseca-Le Sueur Regional Library System, Waseca, MN",https://lccn.loc.gov/2020022385,occult fiction,love stories,,,,,,,0.0,0.0,0.0
18,9781250178602,genre_0,historical_fiction,2021/02,"Hannah, Kristin",The Four Winds: A Novel,2021-02-02 00:00:00,st. martin's press,1.0,0.0,0.0,,,"“Elsa, abandoned by her husband, leaves Texas with her two children to save her young son from dust pneumonia. Beautifully written historical fiction about a mother’s love and strength holding a family together as they leave the Dust Bowl and head West to fulfill dreams of green lands, only to find themselves unwelcome and with conditions worse than what they left. For readers who enjoy historical fiction with unforgettable characters, and fans of The Giver of Stars and Cilka’s Journey.”","Michele Coleman, Iredell County Public Library, Statesville, NC",https://lccn.loc.gov/2020040176,historical fiction,novels,,,,,,,0.0,0.0,0.0
19,9781250232427,genre_0,mystery_fiction,2021/02,"Harper, Jane",The Survivors,2021-02-02 00:00:00,flatiron books,0.0,1.0,0.0,,,"“Harper’s latest gripping murder mystery is set in a seaside town on the coast of Tasmania, where suspicions surrounding three deaths following a shipwreck resurface when a young woman is murdered years later.”","Paul Lane, Palm Beach County Public Library, Boca Raton, FL",https://lccn.loc.gov/2020037495,mystery fiction,,,,,,,,0.0,0.0,0.0
