,permalink,isbn,genres
82,https://lccn.loc.gov/2014003807,9781250043368,"['Domestic fiction.', 'Mystery fiction.', 'Suspense fiction.']"
83,https://lccn.loc.gov/2018022593,9780399587689,['Love stories.']
84,https://lccn.loc.gov/2018037096,9780374156022,['Legal stories.']
85,https://lccn.loc.gov/2013024331,9780307377937,"['Domestic fiction.', 'Epic fiction.']"
86,https://lccn.loc.gov/2020003251,9781984803634,"['Paranormal romance stories.', 'Fantasy fiction.']"
87,https://lccn.loc.gov/2020003250,9781984803627,"['Paranormal romance stories.', 'Fantasy fiction.']"
88,https://lccn.loc.gov/2017038125,9780525520375,[]
89,https://lccn.loc.gov/2016052915,9780399174131,['Domestic fiction.']
90,https://lccn.loc.gov/2019005755,9780062358202,[]
91,https://lccn.loc.gov/2018010894,9781250193162,"['Biographical fiction.', 'Historical fiction.', 'War stories']"
92,https://lccn.loc.gov/2019012466,9781982126780,[]
93,https://lccn.loc.gov/2015026688,9781501124211,['Suspense fiction']
94,https://lccn.loc.gov/2020020989,9780593099483,"['Love stories.', 'Humorous fiction.']"
95,https://lccn.loc.gov/2020009931,9781635575644,[]
96,https://lccn.loc.gov/2020012794,9780593230251,[]
97,https://lccn.loc.gov/2014024908,9781476778068,"['Gothic fiction.', 'Occult fiction.', 'Historical fiction.']"
98,https://lccn.loc.gov/2013024566,9781612192642,[]
99,https://lccn.loc.gov/2019013010,9781984818249,['Mystery fiction.']
100,https://lccn.loc.gov/2019002424,9781524744588,['Historical fiction']
101,https://lccn.loc.gov/2020018551,9780593201602,['Mystery fiction.']
102,https://lccn.loc.gov/2013034014,9781476733807,['Suspense fiction.']
103,https://lccn.loc.gov/2017001928,9781492647454,['Domestic fiction.']
104,https://lccn.loc.gov/2014955137,9780316284943,['Fiction.']
105,https://lccn.loc.gov/2020026669,9780593132876,['Love stories.']
106,https://lccn.loc.gov/2019010863,9780062913579,['Love stories.']
107,https://lccn.loc.gov/2015027259,9781501121043,[]
108,https://lccn.loc.gov/2019049625,9780698408197,"['Biographical fiction.', 'Historical fiction.']"
109,https://lccn.loc.gov/2019006908,9781250142863,['Mystery fiction.']
110,https://lccn.loc.gov/2016046917,9780393609097,[]
111,https://lccn.loc.gov/2013025366,9780399165528,['Suspense fiction.']
112,https://lccn.loc.gov/2020035349,9781250624161,['Love stories.']
113,https://lccn.loc.gov/2015041574,9780451474476,"['Fantasy fiction.', 'Occult fiction.']"
114,https://lccn.loc.gov/2015012455,9781250054807,[]
115,https://lccn.loc.gov/2018009020,9781492666868,['Historical fiction.']
116,https://lccn.loc.gov/2014024364,9780812996678,[]
117,https://lccn.loc.gov/2018026619,9780802128782,[]
